id,timestamp,sender,reply_to,content
37,01.04.2021 22:24:41,User,24.0,Es taču gandrīz noticēju ... 😳 😂
39,01.04.2021 22:33:37,User,25.0,"Malači, man patika😂😂😂"
40,02.04.2021 00:49:39,User,24.0,👍
41,02.04.2021 09:52:16,User,24.0,👍❤️
42,02.04.2021 11:43:13,User,20.0,"Pasaules spožākais augstākā līmeņa vakcīnu speciālists, zinātnieks! Noteikti jānoklausās!"
43,02.04.2021 12:18:50,User,24.0,😂
44,02.04.2021 12:18:51,User,24.0,👍
49,03.04.2021 20:51:40,Āgenskalna klīnika,,Te solītais buklets
50,03.04.2021 20:51:46,User,48.0,Iesaku kā vērtīgu mācību materiālu šo un kanālu
51,03.04.2021 20:51:50,User,,.
52,03.04.2021 20:54:02,User,48.0,Otrs kanāls
53,03.04.2021 20:54:12,User,48.0,Vakcīnu speciālists un virusologs brīdina
56,04.04.2021 12:58:34,User,,.
57,04.04.2021 18:05:45,User,24.0,Lai top!!!
58,04.04.2021 20:25:13,User,,.
59,04.04.2021 21:16:44,Āgenskalna klīnika,,"BrīvvalstsTV ziņās 4.aprīlī plkst.20.00 stāstīsim par jaunu slavenā vīrusa reklāmas kampaņu Lietuvā un pētīsim, kur paliek izlietotās sejas maskas. Virs 35 cikliem PCR tests spēj atrast jau mirušu vīrusa daļiņas, kas vairs nav spējīgas ne replicēties, ne inficēt kādu citu – apstiprina ASV galvenais infektologs Dr.Fauči.Studijas viesis Edgars Kramiņš dalīsies pārdomās par šo laiku, kad no graudiem tiek atdalītas sēnalas un mums esot jābūt gataviem tam, ka graudu būs daudz mazāk nekā sēnalu. Savukārt, Viesturs Rudzītis analizēs melu propagandu un tās izplatību.Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
62,08.04.2021 12:02:35,User,,"Lūk, cik daiļrunīgi!! Kad žurnāla IR galvenajai redaktorei N. Ločmelei nomira dzīvesbiedrs, tad tika sarīkotas valsts mēroga vaimanas un sēras publiskajā telpā. Tā taču ir dabas kārtība. Tā tas notiek, ka infekciju izplatības laikā aiziet bojā vārgākie, kad pat modernās medicīnas sasniegumi nevar palīdzēt. Cilvēki katru gadu mirst no gripas un citām infekciju slimībām, īpaši, ja ir kādas hroniskas blakus saslimšanas, neveselīgs dzīvesveids un ieradumi, piemēram, alkohols, smēķēšana, stress u.tml. Izdzīvo tie, kuru organisms ir spēcīgs. Tāpēc vienmēr esmu uzsvērusi, cik svarīgi ir stiprināt organismu un dzīvot bez kaitīgiem ieradumiem un pārmērībām, kas kaitē organismam. Tas palīdz imunitātei. Dabisko imunitāti neviens nevar atcelt, lai arī kā varas rupori pēdējā gada laikā cenšas to darīt. Savukārt, kad cilvēki mirst no vakcīnas, tad žurnāls IR pasludina, ka ieguvums ir daudz lielāks, nekā risks. Interesanti - kam IR tas ieguvums? Nu ja - nomirst ne jau mans tuvinieks, bet kaut kāds tur svešais. Vai tas IR tas ieguvums? Te tiek brutāli ignorēts, ka nomirušais kādam citam IR tuvinieks. Pēc viņa raud vīrs vai sieva, vecāki un bērni. Izsakot šādus demagoģiskus apgalvojumus, te tiek sajaukta fundamentāla patiesība. Te tiek ignorēts tas, ka vakcīnas mērķis IR pasargāt cilvēkus, tā IR domāta PROFILAKSEI. Ja gadījumā profilaksei domāts pasākums rada traģiskas sekas, ka kaut viens (!) nomirst, tad tas IR nepiedodami un noziedzīgi. No profilakses pasākuma neviens (pat viens!) nedrīkst aiziet bojā! Tieši par to masu medijiem būtu jāceļ trauksme, ka rodas šādas traģiskas un bīstamas sekas, bet būtu jau naivi cerēt, ka to darīs varas rupori... Mēs varam dziedāt cik vēlamies slavas dziesmas mūsdienu zinātnei, bet ja tā neiztur patiesības pārbaudi, tad to nedrīkst piemērot masveidā un piespiedu kārtā. Tā neiztur patiesības pārbaudi, ja cilvēks, kuru atbilstoši, tā saucamās, zinātnes atziņām bija jāaizsargā, aiziet bojā. Te nekavējoties (!) būtu jāatzīst, ka, tā saucamā, zinātne un mēs kaut ko līdz galam nezinām. Te nekavējoties būtu jāpieprasa zinātnei izpētīt un skaidri nodefinēt, kā iepriekš atpazīt un noteikt, kuri ir tie gadījumi (cilvēki!), KAD vakcinācija viņiem var kļūt traģiska. Te zinātnei būtu nekavējoties jānosaka, kuros gadījumos šāds profilakses pasākums nedrīkst tikt piedāvāts, kur nu vēl uzspiests. Te nekavējoties būtu jāievieš MORATORIJS, kamēr visi neskaidrie jautājumi tiek noskaidroti un traģisku seku iznākums tiek novērsts. Kamēr tas nav izdarīts, tikmēr jebkuras runas par masveida-piespiedu-obligātu un uzspiestu darbību, kuras sekas līdz galam nav izpētītas, ir noziedzīgas. No PROFILAKSES pasākuma NEVIENS (pat viens!) nedrīkst aiziet bojā!"
63,08.04.2021 12:02:57,User,,.
65,08.04.2021 12:16:36,User,61.0,"Vakardien apskatīju ASV VAERS informatīvo saiti:  , pārsteidzoši, ka par to neziņo un neinformē masu mēdiji. Jāpiebilst, ka man gan google vakar šo saiti neatvēra, bet tiem kuriem pieejams VPN, tad meklētājā  var apskatīt visas ziņotās blaknes un nāves gadījumus."
67,08.04.2021 20:49:21,User,,
68,08.04.2021 20:50:05,User,,.
71,11.04.2021 20:29:54,Āgenskalna klīnika,,Šeit kārtējais Brīvvalsts TV ziņu raidījums ar svaigākajām aktualitātēm Latvijā un pasaulēKopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem #brivvalststv
74,11.04.2021 22:56:11,User,,.
75,11.04.2021 22:59:22,User,73.0,"It visas dullās sazvērestības teorijas ar laiku apstiprinās... kad sāks krist kā mušas visi šitie savakcinētie, bilonkulis būs beidzot realizējis savu sapni - krasi samazināt planētas iedzīvotāju skaitu. Un tas pat ir labi! Atlase šķiet pavisam adekvāta un godīga. Tie, kam tai paurī vate, tie skrien vakcinēties."
76,11.04.2021 23:04:00,User,73.0,"Lai arī neticu visam šim murgam, tas raksts un teksta avots ir humora un satīras lapa. Tādēļ šī informācija nav labs avots nopietnām lietām. Vakcīna ir tehnoloģiska, tas ir skaidrs, bet balstīt info uz šo rakstu gan nevar, jo tieši šis raksts ir izdomāts ar humora pieskaņu."
77,12.04.2021 00:07:41,User,73.0,"Būtu labi tomēr paskatīties avotu, pirms publicēt šādu satīru. Šoreiz pat rakstā ir tieša atsauce ielikta, nekas nav jāmeklē."
79,12.04.2021 08:20:01,User,77.0,"Jā, es arī paskatījos. Pirmavots ir The stonk market, kuri paši par sevi raksta “ABOUT USThe Stonk Market is a satire site focused on the dull finance and investing industry. We are currently looking for creative writers who have an interest in finance, investing and humor. If you would like to write for The Stonk Market please feel free to reach out.”Šī ziņa nav īsta."
81,12.04.2021 08:25:01,User,,.
83,13.04.2021 21:45:19,User,71.0,
88,14.04.2021 21:36:47,User,,.
89,14.04.2021 21:51:38,User,87.0,Bravo!Te vēl kāds interesants vēstījums...
90,14.04.2021 21:52:19,User,87.0,"Tas priecē, tāpat kā Weimar, Vācijà tiesas lēmums par labu diviem bērniem un abām bērnu skolām, spriežot, ka rīkojumi par distanci, maskām un testiem nenāk bērniem par labu, ir pat kaitīgi, testi vieni paši nevar noteikt infencijas klātbūtni un skolas nedrīkst bērniem to uzspiest. Bet skaidrs, ka sistēma to centīsies nepieļaut, pārsūdzēs šo lēmumu pàrskatīšanai, iebilstot, ka ğimenes tiesai nav tiesību lemt par infekcijas aizsardzības rīkojumu jautājumiem...un tiesnesis dabūjis pat treknas sūdzības...Turam īkšķus par godprātīgiem sava amata darītājiem, lai dievs viņus sarga un drìz padaule atkal nostājas savā vietà lēmumam kā kàršu nams sekoja cita tiesa un arī lēma pret masku Weilheim, Bavărijā, Văcijà. Meitenei bija ārsta zīme, ko skola negribēja atzìt"
91,14.04.2021 21:54:14,User,87.0,"uz to īpaši necerētu. Te gan raksts dāņu valodā, bet īsumā- dāņu premjerministre pateica, ka pat tad, kad visi dāņi vecāki par 16 gadiem būs vakcinēti, viņa nevar garantēt to, ka maskas, distance utt tiks noņemtas. Ja jau tur nevar garantēt, tad te vēl jo mazāk kāds to darīs...🙈"
93,14.04.2021 23:49:06,User,,.
95,15.04.2021 13:04:53,User,92.0,Lieliski! 🤩🤩🤩
97,15.04.2021 14:49:27,User,,.
101,16.04.2021 16:05:22,User,,Adverse reactions go crazy 🤦🏻‍♂️
109,16.04.2021 16:12:08,User,100.0,Kaut kā tas zemes atvieglošanai mehānisms tak ir jāpalaiž. Iespējams tam tā vakcīna arī ir radīta. Katrs izdara savu izvēli un uzņemas atbildību par to.
110,16.04.2021 16:13:22,User,100.0,"Ja katru gadījumu izcels jebkurai lietai var atrast šausminošus blakusefektus un nāves. It īpaši, ja ignorē cēloņsakarības un pielūdz sakritības"
112,16.04.2021 16:13:50,User,,
113,16.04.2021 16:17:25,User,112.0,"Mēdiju nelietīgs gājiens.Cik Rīgā un citviet Latvijā ir vakcinācijas centru?Bet šodien mums tiek rādīts tikai viens.Protams ja vienu atver un visus sadzen vienviet,tad protams izskatās liela rinda."
117,16.04.2021 17:10:26,User,100.0,"Paldies Jums, ka esiet un runajiet!❤️"
118,16.04.2021 17:22:11,User,100.0,"Nevienu nemedīs. Kad 70% novakcinēsies, beidzot izbeigs šo masku show un pārējos liks mierā, iespējams ar kkādiem ierobežojumiem. Bet tāda nu ir šī brīvās izvēles cena...Un tad gaidīsim šova turpinājumu...😂"
120,16.04.2021 20:43:36,User,119.0,Kur ir tā tabula? Vai es viena neatradu?
121,16.04.2021 20:56:24,User,119.0,Tabuliņa aizmirsās?
123,16.04.2021 21:12:48,User,112.0,"Nē, viņš patentēja 2020. Gadā. Tur ir divi datumi ar dažādām nozīmēm."
124,16.04.2021 21:16:22,User,111.0,"Tur skaidri un gaiši rakstīts, ka publicēts 2020. Gadā."
125,16.04.2021 21:44:00,User,119.0,"Jā, kur tabuliņa? 😊"
126,16.04.2021 21:44:44,User,,Latest govt data Yellow Card Scheme:
128,17.04.2021 06:53:19,User,111.0,Publicēts nav tas pats kas patentēts
129,17.04.2021 06:58:59,User,110.0,"Katru gadījumu izceļ, jo beidzot ir slimie ar smagām blaknēm no vakcīnas un mirušie. Un zināmi. No ""nāvējošā"" vīrusa bija mistiski  mirušie kurus neviens nezināja un saslimušie bez slimību pazīmēm."
131,17.04.2021 09:39:05,User,126.0,Ko atverot var iegūt tieši šādu tabulu? Man izdodas atvērt tikai tās izklājlapas. Vēlos parādīt citiem tabulas veidā.
132,17.04.2021 09:43:41,User,127.0,"Prātam neaptverami, taču tā ir. Jau tās nemitīgās adatas un sprices fotogrāfijās, datorekrānos, televīzijā un maskas liecina, ka mēs jau tagad dzīvojam koncentrācijas nometnē. Tas jau vairs nav stāsts par slimnīcu vai tml."
133,17.04.2021 10:50:38,User,129.0,"Bet ja tieši tādu pašu uzmanību pievērstu visiem, kas ēd ābolus tad ar tādu pašu pārliecību varētu teikt, ka beidzot ir slimie ar smagām blaknēm no āboliem un mirušie. Jo ar cilvēkiem regulāri notiek traģiskas lietas un ja meklē tad atradīs gan vakcinētys, gan nevakcinētus cilvēkus, kam kautkas traks notiek, bet kuru interesē, ka pēkšņi nomira cilvēks, kurš nevakcinējās?"
134,17.04.2021 10:53:49,User,126.0,"""Surgical and medical procedures"" šajā sarakstā ļpti labi parāda, kas tas saraksts īstenībā ir -sakritību saraksts. Teikt, ka šie ir mirušie no vakcīnas ir tas pats, kas teikt, ka to vienu, kurš nomira no medicīniskas procedūras, nogalināja vakcīna. Smieklīgi un absurdi, lūdzu neuzķeraties uz tik primitīviem meliem."
139,17.04.2021 23:35:29,User,133.0,"Pagājušo gadu pat 99 gadīgie nevarēja nomirt dabīgā nāvē, jo visi mira tikai un vienīgi no kovid. Arī manu omīti gribēja pieskaitīt pie kovid mirušajiem. Kuru interesēja, ja pēkšņi nomira cilvēks, kuram nebija kovid?Lūk, beidzot Eiropā pirmais gadījums. Princis Philip's 99 gados nomira dabīgā nāvē, šoreiz gan ignorējot (mēdiji) faktu, ka bija vakcinēts.Pagaišgad 99 gadīgs būtu tikai un vienīgi kovid case."
140,17.04.2021 23:38:08,User,139.0,"Nē. 99 gadīgie mira no visām parastajām kaitēm, tāpat, kā parasti. Tas ir statistikā redzams. Bet tam pa virsu mira arī daudzi no covid."
141,18.04.2021 23:16:50,User,61.0,Kur var atrast informāciju par Riževa nāvi?
150,21.04.2021 21:17:37,User,146.0,"Nu mediķim jau vajadzētu zināt, kam maskas ir domātas - source control."
153,22.04.2021 12:33:41,User,152.0,"Zinātnisks raksts? Non peer'reviewed viedoklis. Salīdzinot gripu ar covid iznantoti avoti no pagājušā gada marta, kad ļoti maz zinājām par covid. Ļoti ērtā vietā izmantots IFR, nevis CFR. Tekstā rakstīts, ka avots salīdzināja, N95, Medicīniskās maskas un nekādas maskas, bet realitātē avots salīdzināja tikai N95 ar medicīniskajiem. Vienā vietā stāsta, ka maskas laiž cauri vīrusus, kuri ir tikai 60-140 nm lieli, un pēc tam stāsta, ka nelaiž cauri O2 un CO2, kuri ir <0.5 nm lieli. Pilnīgi ignorējot, ka vīrusi nekur paši nelidinās - tie izplešās caur siekali pilieniem, kas jau ir 1-1000 μm. Apraksta teoriju par hypoxemia un hypercapnia, bet pamato, ka to izraisa maskas tikai ar vienu pētījumu, kur ķirurgiem n stundas maskās un stresā samazinās spO2 par 1% un ar pētījumu, ka ārstiem zem neskaitāmiem IAL slāņiem n stundas dienā strādājot mēdz sāpēt galva.Un nav minēts neviens no desmitiem pētījumu, kas secina, ka maskas strādā.Secinājumi - Neinformēts viedoklis, apzināta maldināšana rakstot citu, kā bija teikts avotos, izmantoti gadu veci avoti par covid, cherry pickoti teorijas fragmenti, izlaistas svarīgas detaļas, kas pārējo padarītu par nederīgu un cherry pickoti absolūti vienpusēji pētījumi."
154,22.04.2021 12:38:15,User,153.0,"Ko tiesi vairak mes zinam, kops pagajusa gada marta, par Covid 19 sobrid? Iespejams busu palaidusi garam."
155,22.04.2021 12:45:18,User,154.0,Piemēram PASC jeb garais Covid.
156,22.04.2021 14:53:10,User,155.0,"Varbut Jums ir saite, kur var iepazities ar Lielbritanijas Nacionalas Veselibas Petniecibas Instituta petijumu par garo Covid? Man nesanak atrast."
157,22.04.2021 14:54:52,User,156.0,"Nezinu, kas tas ir par konkrēto pētījumu. Bet te ir apkopota informācija -"
158,22.04.2021 15:56:05,User,146.0,
160,23.04.2021 16:08:16,User,152.0,
161,23.04.2021 20:20:05,Āgenskalna klīnika,,Jaunākais Brīvvalsts TV ziņu raidījums gaidāms šo svētdien plkst. 20.00 Šeit tā pieteikums.Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem
163,24.04.2021 00:33:55,User,146.0,Kas īsti ir tajās maskās?
164,25.04.2021 03:47:31,User,162.0,
165,26.04.2021 15:59:31,Āgenskalna klīnika,,"Ik pa laikam ienāk interesantas ziņas un interesanti jaunumi. Šis ir viens no tiem. Atkal jau no Pasaules Ārstu alianses. Izrādās, ka Indijā pēc švakcinācijas kampaņas sākuma saslimstība no 13 gadījumiem uz 100 tūkstošiem iedzīvotāju palēcās uz 159 gadījumiem uz 100 tūkstošiem iedzīvotāju. Jautājums vietā - kāpēc tā? kas Indiešu švakcīnā ir tāds, ka saslimstība pieaug? Un, ja tas tā notiek, tad Kovids mūža garumā ir garantēts pēc valdoņu plāniem. Jo mums stāsta, ka jāšvakcinējas ik pēc noteikta laika, kas variē no 3 mēnešiem līdz gadam. Arī šeit nav īstas skaidrības par to, kā tad īsti. Te arī uzskatāms grafiks.Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
167,26.04.2021 16:06:15,User,,
169,26.04.2021 17:30:11,User,166.0,👍.
172,28.04.2021 11:51:19,Āgenskalna klīnika,,Un šeit ir America Frontline doctors sagatavots apskats par eksperimentālajām švakcīnām pret Kovid.Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem
173,28.04.2021 12:15:36,User,170.0,"Jums pilnībā piekrītu. Sevī novēroju, ka jau kādu mēnesi nepanesu nevienas LV oficiālo mediju ziņu pārraides. Tā, ka nav iespējams pat minūti, klusiņām vai fonā to dzirdēt. Laikam ir jau tāda fiziska melu, tumsonības un muļķības pārdozēšana. Bet. Es atskārtu, ka man ir ikdienā jau izkristalizējušās vietas/iestādes, kur drīkst nelikt masku-kur pretīm redzu cilvēku smaidu un cilvēcību ❤️ Esmu noķērusi to brīdi-kad ienāc kādās jaunās telpās un ar pirmo acu skatienu bez vārdiem tiek pateikts “a davai bez maskām!” Tad man paliek silti! Un tiešām ir arī cilvēki, kas atvadoties vai satiekoties apskaujas! Aizvien man tādu apkārs sarodas vairāk! 💫 Savu ikdienu dzīvoju pēc iespējas ignorējot šo sērgu. Pēc iespējas izvēloties vietas, kur varu būt ar kailu seju. Savam mazulim vispār nerādu maskainos cilvēkus, lai viņai nenosēžas zemapziņā, ka šī ir normāla pasaule. Normāli ir smaidi! Un redzot, kā mana 3gadniece vienmēr koncentrējas uz manām lūpām, kad es dziedu, runāju vai lasu viņai grāmatu, un šajā procesā viņa automātiski kopē manu lūpu kustību, man paliek skumji par bērnudārza bērniem, kam personāls ir maskās. Mums pašiem jādomā un jāsargā cilvēcība sevī, savā ģimenē vispirms 🌟Ja ignorējam tv, man apkārt nav bijusi neviena šīs sērgas skartā (panorāmas izprantē skartā/inficetā/slimā), ja neskaita vienu paziņu, kas smagi ārstējās slimnīcā un izķepurojās, bet šis cilvēks dzīvoja ļoti izlaidīgu dzīvi gan fiziski, gan morāli un nenormāli baidījās no vīrusa šī un visiem pārējiem vīrusiem. Bet man ir jau 2 privāti zināmi gadījumi, kad cilvēki mirst pēc vakcīnas.Paldies par uzmanību :) Lai visiem daudz smaidu un apskāvienu ikdienā! Izplatīsim smaidu, apskāvienu un veselības vīrusu!!! Tas tiešām ir lipīgs! 🥰"
174,28.04.2021 12:19:28,Āgenskalna klīnika,,"Kā mēs nesen runājām ar vienu manu kolēģi - medicīna ir krietni izmainījusies kopš tā laika, kad studējām. Jautājums- kur palikusi uz pierādījumiem balstītā medicīna? Tās, šķiet, vairs nav, jo medicīnā tagad laurus plūc pianisti, filologi un kompjūterspeciālisti. Ārstos neviens lāgā neklausās, jo viņi ""nezina"" neko. Smieklīgi, vai ne? Arī Stanfordas universitātes pētījumu, ko publicēju FB pirms dažām dienām laipnie faktčekeri bloķēja, kā ""nezinātnisku"". Interesantā pasaulē dzīvojam. Izrādās žurnālisti medicīnā orientējas labāk, kā Stanfordas universitātes profesori. Varbūt, ka tā ir pareizi. Bet, šķiet, tomēr tas ir no Greizo spoguļu valstības.Pārpublicēju pdf failā veikto pētījumu, kurā pierādīts, ka maskas NAV efektīvas vīrusu pārneses samazināšanā. Bet tām ir ļoti daudz un nopietni blakus efekti - gan psiholoģiski, gan arī fizioloģiski.Kopā mēs varam!!! /Dr.E.Mednis/  #AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem"
175,28.04.2021 14:10:46,User,174.0,🙏
176,30.04.2021 11:29:16,User,165.0,"Manuprāt, līdzīga situācija arī Latvija :("
177,30.04.2021 16:55:05,User,170.0,"Jums kā ārstam nav kauns lietot ""izdzīvošanas rādītājs""?"
178,30.04.2021 16:56:55,User,174.0,"Kāds šim ar Stanfordu knapi saistītajam, ne ""peer-reviewed"" viedokļa rakstam vispār sakars ar pētījumu?"
186,03.05.2021 22:22:35,User,182.0,"Cik zināms kā globalistu kļūda ir tā, ka plāns bija uz 2050 bet sagribējās ātrāk..  tādēļ sanāk mazliet tas viss tik acīmredzami un nerēķinājās ar tik lielu cilvēku pretestību. Tāpēc jābūt kopā lai pēc iespējas ilgāk izturētu spiedienu ar kuru viņi nav rēķinājušies."
190,03.05.2021 23:31:11,User,189.0,"Šokējoši, kam viņi gatavojas?"
193,04.05.2021 12:30:06,User,191.0,Izraēlā mirstība ir normas robežās. Cik var melot.
194,04.05.2021 12:32:06,User,191.0,"Izrādās, ka tas raksts ir vēl maldinošāks. Janvārī-februārī bija paaugstināta mirstība... tad bija covid pīķis un sākums vakcinācijai."
195,04.05.2021 14:27:56,User,191.0,"Es neplānoju vakcinēties. Cienu ārstu dr.Medni, bet mani atgrūž vārdi ""švakcinēt utt"". Ķermenis atgrūž. Kāpēc ir jārunā ar sarkasmu?Varbūt var izglītot tautu, izmantojot ārsta zināšanas, kā tad ir kopumā sākusies vakcinācija un ko tā devusi un cik tur daudz jēgas utt. Esmu par to, ka gripa, vējbakas un cūciņas ir jāizslimo. Bet kā ir ar pārējām slimībām, pret kurām vakcinē? Noteikti es neesmu vienīgā, kura to nezin."
196,06.05.2021 08:39:31,User,192.0,Malači indieši!!!
200,07.05.2021 10:38:58,User,191.0,"Paldies dr. Medni, ka mums esiet! Paldies par Jusu izturibu un drosmi!"
201,07.05.2021 21:18:32,Āgenskalna klīnika,,Latvijas Mediķu apvienība ir apkopojusi zinātniskus materiālus un izveidojusi visiem labi uztveramu un saprotamu zīmējumu par masku ietekmi uz cilvēka organismu. Tā nav nevainīga lupatiņa uz sejas. Tā rada daudz un dažādas blaknes. Tās ir daudz nopietnākas kā odu ķeršana ar drāšu sietu. Ieskatieties un padomājiet.Kopā mēs varam!!!/Dr.E.Mednis/#AgenskalnaKlinika #GribuSportot #KopaMesVaram #DziveBezBailem
202,07.05.2021 21:21:43,User,201.0,😊👍
203,07.05.2021 21:42:52,User,201.0,Paldies!
206,07.05.2021 21:46:46,User,201.0,"..un te jau sākušās FB aktīvistu pretenzijas - kas ir šī Mediķu apvienība, kādi uzvārdi tur iekļaujami, bla bla bla...Kaisām cūkām pērles, bet šīs tāpat tās cenšas iemīcīt dubļos...🤦‍♀️🤦"
208,07.05.2021 21:50:08,User,205.0,"Tik vienkārši... Masu debilizācijai ilgtermiņā ir vareni rezultāti, nevar noliegt. Skumji. Paldies, ka esat un kopā mēs TIEŠĀM VARAM! ✊"
209,07.05.2021 22:25:53,User,205.0,Precīzi. Šobrīd klausos Solžeņicina “Gulaga arhipelāgu”. Paralēles un asociācijas ir baisi uzkrītošas.
210,07.05.2021 23:19:12,User,205.0,"Covidioti savos burbuļos sazvērestības teorijas dzird tik daudz reizes, ka sāk tām ticēt neskatoties uz pierādījumu trūkumu.Sauc visus citus par aitāmIr pārliecināti, ka ir tieši tie, kas ir ""atmodušies"" un viņi nu nekādīgi nav tie, kas tiek manipulēti.Un kāds naids tiek sēts pret zinātnisko metodi - objektīvi labāko veidu, kā nonākt pie taisnības.Nu 1:1 jums atbilst."
212,08.05.2021 21:08:19,User,192.0,"...hello, jautājums par Vaccine Exemption document...neesmy vusau pārliecināta vai šāds dokumenta būtu derīga arī UK... kā arī sańēmu ne visai pārliecinošu atbildi uz vēlmi iegādāties dokumentu no Jūsu piedāvātā contakt  here you goDonate at  20 usd via paypal. Sounds good?”"
213,08.05.2021 21:09:28,User,192.0,lūdzu sniegt vairāk informācijas kā tas darbojas ...?
214,08.05.2021 21:12:08,User,192.0,"...pilnīgi noteikti, mans jautājums nenozīmē, ka negribu ziedot naudu labiem mērkiem...ar ciñu,Astere"
215,08.05.2021 21:18:13,User,212.0,Aicinu nepārskaitīt naudu nezināmiem cilvēkiem. Neesmu ieticis izmantot linkus vakcinācijas apiešanai.
216,08.05.2021 21:22:56,User,192.0,"...paldies, bet šī informācija atrodama contextā ar Āgenskalna klinikas info, pievienoju screenshot:"
218,08.05.2021 21:25:44,User,,"Es skatos kompjūterā un neko tādu neredzu. Iespējams, ka tas ir komentārs, ko kāds pierakstījis klāt"
221,09.05.2021 12:02:51,User,219.0,👍🏻👍🏻👍🏻👍🏻👍🏻
222,09.05.2021 12:14:35,User,219.0,👍
223,09.05.2021 12:18:49,User,219.0,Es vēlos. 🙏🤍🙏
224,09.05.2021 14:38:57,User,219.0,👍
225,09.05.2021 16:49:15,User,219.0,"Cilvēki netic, viņi tic tabletēm un vakcīnām. Un tiem, kas netic, negrib ticēt, nespēj ticēt ir šis, "" ātrais risinājums"", smagais variants, no eta vibor duši...."
226,09.05.2021 17:02:24,User,219.0,"Katru reizi, kad stāstu stāstu par savu sievas māti, cilvēki uz mani skatās un netic, jo mūsu apziņā ir tikai tabletes, aptieka, kurā visu var nopirkt...Stāsts par manu sievasmāti - kādā vasaras dienā viņu sadzēla rokā irsis. Nu viņiem tā inde pavairāk, līdz ar to arī reakcijas iespējamas lielākas un smagākas. Sapampa roka, sāka sāpēt. Smērēja viņa viskautko, dzēra viskautko, bet roka  nedēļas jau divas kā sāp, tā sāp.Aizbraucu ciemos, teicu nu ko tu mocies, iedzer taču Api. Laikam jau bija gana nomocījusies, jo paņēma no manis 7 graudiņus un iedzēra. Pēc 30 min rokas pampums pazuda un sāpes pārgāja.Kad stāstu cilvēkiem, viņu acīs redzu, jā, jā, bet ne man.Lai visiem saulaina diena :)"
